iter	Logloss
0	0.6914240289
1	0.6902048157
2	0.6887329146
3	0.6873613163
4	0.6861082497
5	0.6849636532
6	0.6838838652
7	0.6829009689
8	0.6819952436
9	0.6811602167
10	0.6803932134
11	0.6796805195
12	0.6790244251
13	0.6784230986
14	0.6778732484
15	0.6773604997
16	0.6768774263
17	0.6764354029
18	0.6759857203
19	0.6755669758
20	0.6751827502
21	0.6748313163
22	0.6745030916
23	0.674174743
24	0.6738750706
25	0.6735718444
26	0.6732569439
27	0.6729815207
28	0.6726870086
29	0.6724140819
30	0.6721696889
31	0.6719416195
32	0.6716971848
33	0.6714672427
34	0.671257725
35	0.6710278869
36	0.6708125665
37	0.6706142116
38	0.6704225082
39	0.6702419704
40	0.6700409422
41	0.6698585653
42	0.6696864386
43	0.6694412005
44	0.6692168787
45	0.6690180984
46	0.6688690846
47	0.6686728845
48	0.6685196756
49	0.6683330486
50	0.6681581041
51	0.6680199874
52	0.6678901895
53	0.667735636
54	0.6675664904
55	0.6674389039
56	0.6672879739
57	0.6671453875
58	0.6669878009
59	0.6668487625
60	0.6667217871
61	0.6665937325
62	0.6664517597
63	0.666304299
64	0.6661940284
65	0.6660632081
66	0.6659472409
67	0.6658336322
68	0.6657272778
69	0.6656046757
70	0.6655057669
71	0.6654049888
72	0.6652456303
73	0.6651479455
74	0.6650309661
75	0.6649159384
76	0.6648307167
77	0.6647136233
78	0.6646050015
79	0.6645099388
80	0.6644265541
81	0.6642963126
82	0.6641514264
83	0.6640815932
84	0.6639520975
85	0.6638532587
86	0.6637465079
87	0.6636538255
88	0.6635461862
89	0.6634604301
90	0.6633832721
91	0.663299916
92	0.6632023044
93	0.663089671
94	0.6629888392
95	0.6628878455
96	0.6627936782
97	0.6626857082
98	0.6625858435
99	0.6625179443
100	0.6624160492
101	0.6623384775
102	0.6622669553
103	0.6621791195
104	0.6620902407
105	0.6620051717
106	0.6618880827
107	0.6618067032
108	0.6617363393
109	0.6615992913
110	0.6615055496
111	0.6614525251
112	0.6613441745
113	0.6612646336
114	0.6611677095
115	0.6610954392
116	0.6610133831
117	0.6609180286
118	0.6608254406
119	0.6607302458
120	0.6606614139
121	0.6605570983
122	0.660457827
123	0.6603530952
124	0.6602918523
125	0.6601879503
